date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:26	73650/73650	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Apr%202025%2009:52:25%20GMT	https://ovo-feathers.webflow.io/	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/ovo-feathers.webflow.io/index.html	(from )
11:52:26	90919/90919	---M-Z	200	added ('OK')	text/css	etag:%228bb5b7dbe9f0b3f48415d94e97ee2281%22	https://cdn.prod.website-files.com/677e8b595194a56effed6497/css/ovo-feathers.webflow.4cc2dc15d.css	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/cdn.prod.website-files.com/677e8b595194a56effed6497/css/ovo-feathers.webflow.4cc2dc15d.css	(from https://ovo-feathers.webflow.io/)
11:52:26	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ovo-feathers.webflow.io/)
11:52:26	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Apr%202025%2009:52:26%20GMT	https://fonts.gstatic.com/	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/fonts.gstatic.com/index.html	(from https://ovo-feathers.webflow.io/)
11:52:26	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Apr%202025%2009:52:26%20GMT	https://fonts.googleapis.com/	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/fonts.googleapis.com/index.html	(from https://ovo-feathers.webflow.io/)
11:52:26	2094/2094	---M--	200	added ('OK')	image/png	etag:%22999f3d823534f30ad8b816659f38934b%22	https://cdn.prod.website-files.com/677e8b595194a56effed6497/677e8bcd0c7a7eafa4905059_Fav.png	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/cdn.prod.website-files.com/677e8b595194a56effed6497/677e8bcd0c7a7eafa4905059_Fav.png	(from https://ovo-feathers.webflow.io/)
11:52:27	62469/62469	---M--	200	added ('OK')	image/png	etag:%222178ce8119c8e6d21a125bf349e66eed%22	https://cdn.prod.website-files.com/677e8b595194a56effed6497/677e8bd2b3dbbe98616ae160_Fav-1.png	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/cdn.prod.website-files.com/677e8b595194a56effed6497/677e8bd2b3dbbe98616ae160_Fav-1.png	(from https://ovo-feathers.webflow.io/)
11:52:27	9501/9501	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222322b96707a581ce0af089872d38d2c5%22	https://cdn.prod.website-files.com/677e8b595194a56effed6497/677e8ee88191cccc2a413b8a_Feathers..svg	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/cdn.prod.website-files.com/677e8b595194a56effed6497/677e8ee88191cccc2a413b8a_Feathers..svg	(from https://ovo-feathers.webflow.io/)
11:52:27	22428/22428	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Apr%202025%2019:49:56%20GMT	https://ovo-feathers.webflow.io/blog	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/ovo-feathers.webflow.io/blog.html	(from https://ovo-feathers.webflow.io/)
11:52:27	100888/100888	---M--	200	added ('OK')	image/png	etag:%22ead4405f93e86b84716708caf88e0050%22	https://cdn.prod.website-files.com/677e8b595194a56effed6497/677e8ee98020b23fe7273de1_Icon%20Big.png	C:/Users/Jose/Desktop/Redirct%20default%20file/WEB/ovo-feathers.webflow/cdn.prod.website-files.com/677e8b595194a56effed6497/677e8ee98020b23fe7273de1_Icon%20Big.png	(from https://ovo-feathers.webflow.io/)
